city_name,record_date,AVERAGE_CONFIDENCE,AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,AVERAGE_RAIN
Braga,2018-10-11 19:00:00,0.92,High,40.4,23.6,66.3,17.0,1013.0,82.0,5.0,0.0,0.0
Braga,2018-10-11 18:00:00,0.92,Very_High,39.1,111.4,65.5,18.0,1013.0,68.0,5.0,20.0,0.0
Braga,2018-10-11 17:00:00,0.92,Very_High,40.4,86.4,66.3,19.0,1012.0,72.0,5.0,40.0,0.0
Braga,2018-10-11 16:00:00,0.93,Very_High,40.4,33.0,66.3,20.0,1012.0,68.0,6.0,40.0,0.0
Braga,2018-10-11 15:00:00,0.88,High,40.3,43.1,67.7,20.0,1011.0,72.0,5.0,40.0,0.0
Braga,2018-10-11 14:00:00,0.9,Very_High,40.3,63.2,67.7,20.0,1011.0,68.0,5.0,40.0,0.0
Braga,2018-10-11 13:00:00,0.9,High,40.5,24.9,69.2,19.0,1011.0,82.0,5.0,40.0,0.0
Braga,2018-10-11 11:00:00,0.87,High,38.8,17.4,66.8,19.0,1010.0,82.0,4.0,20.0,0.0
Braga,2018-10-11 09:00:00,0.92,Medium,39.1,8.1,65.5,16.0,1008.0,100.0,3.0,20.0,0.0
Braga,2018-10-11 08:00:00,0.94,Very_High,42.1,44.3,60.2,16.0,1008.0,100.0,4.0,90.0,0.0
Braga,2018-10-11 06:00:00,0.66,Low,40.4,1.4,66.3,16.0,1005.0,100.0,6.0,75.0,0.0
Braga,2018-10-11 05:00:00,0.62,None,40.5,0.0,69.3,16.0,1004.0,93.0,9.0,75.0,0.0
Braga,2018-10-11 04:00:00,0.59,None,43.9,0.0,53.0,17.0,1004.0,88.0,10.0,75.0,0.0
Braga,2018-10-11 03:00:00,0.6,None,45.6,0.0,58.1,17.0,1004.0,88.0,7.0,75.0,0.0
Braga,2018-10-11 02:00:00,0.6,None,40.1,0.0,67.2,18.0,1005.0,77.0,9.0,75.0,0.0
Braga,2018-10-11 01:00:00,0.71,None,42.4,0.0,61.5,19.0,1005.0,68.0,8.0,75.0,0.0
Braga,2018-10-10 23:00:00,0.71,None,39.1,0.0,65.5,18.0,1005.0,72.0,7.0,75.0,0.0
Braga,2018-10-10 22:00:00,0.79,Medium,40.4,3.2,66.3,18.0,1005.0,77.0,7.0,75.0,0.0
Braga,2018-10-10 21:00:00,0.78,Low,42.1,1.7,60.2,18.0,1005.0,82.0,7.0,75.0,0.0
Braga,2018-10-10 20:00:00,0.87,Medium,37.0,7.2,68.8,18.0,1005.0,82.0,7.0,90.0,0.0
Braga,2018-10-10 19:00:00,0.87,High,40.4,10.7,66.3,17.0,1004.0,88.0,6.0,40.0,0.0
Braga,2018-10-10 18:00:00,0.94,Very_High,40.4,57.2,66.3,18.0,1004.0,77.0,5.0,0.0,0.0
Braga,2018-10-10 17:00:00,0.94,Very_High,40.4,60.8,66.3,19.0,1004.0,68.0,5.0,0.0,0.0
Braga,2018-10-10 16:00:00,0.89,High,40.4,36.7,66.3,20.0,1003.0,68.0,5.0,0.0,0.0
Braga,2018-10-10 15:00:00,0.9,High,40.5,12.7,69.2,19.0,1004.0,77.0,6.0,0.0,0.0
Braga,2018-10-10 14:00:00,0.92,High,38.7,15.5,69.6,19.0,1004.0,72.0,8.0,0.0,0.0
Braga,2018-10-10 13:00:00,0.88,High,40.4,28.9,66.3,20.0,1005.0,64.0,8.0,0.0,0.0
Braga,2018-10-10 12:00:00,0.89,High,39.1,57.1,65.5,20.0,1005.0,52.0,6.0,0.0,0.0
Braga,2018-10-10 10:00:00,0.92,Medium,39.1,4.5,65.5,19.0,1004.0,48.0,3.0,0.0,0.0
Braga,2018-10-10 09:00:00,0.91,High,40.4,16.1,66.3,17.0,1004.0,51.0,2.0,0.0,0.0
Braga,2018-10-10 08:00:00,0.93,Very_High,40.5,70.7,69.2,12.0,1004.0,76.0,2.0,0.0,0.0
Braga,2018-10-10 05:00:00,0.59,Low,40.5,5.6,72.9,12.0,1004.0,71.0,1.0,0.0,0.0
Braga,2018-10-10 04:00:00,0.53,None,42.8,0.0,77.2,13.0,1004.0,66.0,1.0,0.0,0.0
Braga,2018-10-10 03:00:00,0.54,None,44.4,0.0,64.3,16.0,1004.0,55.0,4.0,0.0,0.0
Braga,2018-10-10 02:00:00,0.57,None,43.2,0.0,74.9,15.0,1005.0,62.0,4.0,0.0,0.0
Braga,2018-10-10 01:00:00,0.6,Low,42.7,2.6,64.4,17.0,1005.0,55.0,5.0,0.0,0.0
Braga,2018-10-09 23:00:00,0.71,None,40.4,0.0,66.3,17.0,1007.0,55.0,3.0,0.0,0.0
Braga,2018-10-09 22:00:00,0.83,Low,39.1,0.9,65.5,13.0,1007.0,71.0,1.0,0.0,0.0
Braga,2018-10-09 21:00:00,0.82,Low,40.1,1.8,67.2,14.0,1007.0,67.0,1.0,0.0,0.0
Braga,2018-10-09 20:00:00,0.85,Low,37.1,2.7,65.4,14.0,1007.0,67.0,0.0,0.0,0.0
Braga,2018-10-09 17:00:00,0.91,Very_High,40.4,210.7,66.3,21.0,1007.0,43.0,4.0,20.0,0.0
Braga,2018-10-09 16:00:00,0.89,Very_High,40.5,52.3,69.2,22.0,1008.0,43.0,4.0,0.0,0.0
Braga,2018-10-09 15:00:00,0.94,High,39.1,36.8,65.5,22.0,1008.0,46.0,3.0,0.0,0.0
Braga,2018-10-09 14:00:00,0.9,High,39.1,29.5,65.5,24.0,1008.0,36.0,3.0,0.0,0.0
Braga,2018-10-09 13:00:00,0.93,High,40.1,30.5,67.2,24.0,1009.0,31.0,2.0,0.0,0.0
Braga,2018-10-09 12:00:00,0.9,High,39.1,25.1,65.5,23.0,1010.0,38.0,3.0,0.0,0.0
Braga,2018-10-09 11:00:00,0.89,Medium,37.6,5.9,64.5,22.0,1011.0,43.0,5.0,0.0,0.0
Braga,2018-10-09 07:00:00,0.87,High,40.4,13.5,66.3,15.0,1011.0,58.0,2.0,0.0,0.0
Braga,2018-10-09 06:00:00,0.65,None,44.8,0.0,58.7,15.0,1011.0,58.0,2.0,0.0,0.0
Braga,2018-10-09 05:00:00,0.61,None,44.1,0.0,54.5,14.0,1011.0,62.0,2.0,0.0,0.0
Braga,2018-10-09 03:00:00,0.55,None,41.3,0.0,59.7,15.0,1011.0,58.0,2.0,0.0,0.0
Braga,2018-10-09 02:00:00,0.5,None,43.8,0.0,68.4,13.0,1012.0,66.0,2.0,0.0,0.0
Braga,2018-10-09 01:00:00,0.57,None,40.9,0.0,78.8,14.0,1013.0,62.0,2.0,0.0,0.0
Braga,2018-10-09 00:00:00,0.64,None,40.4,0.0,66.3,13.0,1013.0,71.0,3.0,0.0,0.0
Braga,2018-10-08 23:00:00,0.75,None,42.1,0.0,60.2,14.0,1013.0,62.0,1.0,0.0,0.0
Braga,2018-10-08 22:00:00,0.76,None,40.4,0.0,66.3,14.0,1013.0,62.0,1.0,0.0,0.0
Braga,2018-10-08 21:00:00,0.79,None,40.4,0.0,66.3,15.0,1013.0,58.0,1.0,0.0,0.0
Braga,2018-10-08 19:00:00,0.87,High,40.7,27.7,67.8,18.0,1013.0,45.0,3.0,0.0,0.0
Braga,2018-10-08 18:00:00,0.92,Very_High,40.4,107.9,66.3,20.0,1013.0,40.0,5.0,0.0,0.0
Braga,2018-10-08 17:00:00,0.91,Very_High,40.4,96.6,66.3,22.0,1013.0,35.0,4.0,0.0,0.0
Braga,2018-10-08 16:00:00,0.92,Very_High,40.4,41.0,66.3,23.0,1014.0,35.0,4.0,0.0,0.0
Braga,2018-10-08 15:00:00,0.89,High,37.6,24.7,64.5,22.0,1014.0,40.0,3.0,0.0,0.0
Braga,2018-10-08 14:00:00,0.9,High,39.1,11.3,65.5,25.0,1015.0,29.0,4.0,0.0,0.0
Braga,2018-10-08 13:00:00,0.88,High,40.7,11.7,58.9,24.0,1016.0,31.0,5.0,0.0,0.0
Braga,2018-10-08 12:00:00,0.9,High,39.1,18.5,65.5,22.0,1016.0,35.0,6.0,0.0,0.0
Braga,2018-10-08 11:00:00,0.91,Medium,39.1,6.7,65.5,21.0,1017.0,40.0,6.0,0.0,0.0
Braga,2018-10-08 10:00:00,0.91,Medium,39.1,9.3,65.5,19.0,1017.0,45.0,5.0,0.0,0.0
Braga,2018-10-08 07:00:00,0.87,High,40.4,18.1,66.3,15.0,1016.0,51.0,4.0,0.0,0.0
Braga,2018-10-08 05:00:00,0.61,None,44.1,0.0,53.6,14.0,1016.0,50.0,2.0,0.0,0.0
Braga,2018-10-08 04:00:00,0.5,None,40.4,0.0,66.3,13.0,1016.0,54.0,3.0,0.0,0.0
Braga,2018-10-08 03:00:00,0.5,None,40.4,0.0,66.3,14.0,1017.0,50.0,2.0,0.0,0.0
Braga,2018-10-08 00:00:00,0.57,None,37.9,0.0,75.2,15.0,1018.0,47.0,4.0,0.0,0.0
Braga,2018-10-07 23:00:00,0.68,Low,39.3,5.1,66.9,13.0,1018.0,66.0,2.0,0.0,0.0
Braga,2018-10-07 21:00:00,0.88,Low,40.4,1.5,66.3,13.0,1017.0,82.0,1.0,0.0,0.0
Braga,2018-10-07 20:00:00,0.83,Medium,39.1,7.0,65.5,13.0,1017.0,76.0,1.0,0.0,0.0
Braga,2018-10-07 19:00:00,0.92,Low,40.3,1.9,70.7,15.0,1017.0,72.0,1.0,0.0,0.0
Braga,2018-10-07 16:00:00,0.9,Medium,40.4,11.7,66.3,20.0,1018.0,49.0,4.0,0.0,0.0
Braga,2018-10-07 15:00:00,0.91,High,39.9,8.5,68.7,20.0,1018.0,40.0,3.0,0.0,0.0
Braga,2018-10-07 14:00:00,0.89,Low,39.1,1.3,65.5,19.0,1019.0,42.0,4.0,0.0,0.0
Braga,2018-10-07 12:00:00,0.87,Low,38.4,6.1,67.9,19.0,1020.0,34.0,2.0,0.0,0.0
Braga,2018-10-07 11:00:00,0.86,Medium,38.8,14.1,70.1,18.0,1021.0,39.0,4.0,0.0,0.0
Braga,2018-10-07 10:00:00,0.86,Low,40.5,0.9,69.2,15.0,1021.0,47.0,2.0,0.0,0.0
Braga,2018-10-07 09:00:00,0.84,Low,38.8,0.6,71.5,13.0,1021.0,58.0,2.0,0.0,0.0
Braga,2018-10-07 08:00:00,0.69,None,40.4,0.0,66.3,8.0,1020.0,81.0,1.0,0.0,0.0
Braga,2018-10-07 07:00:00,0.67,None,39.1,0.0,65.5,7.0,1020.0,87.0,2.0,0.0,0.0
Braga,2018-10-07 06:00:00,0.68,None,40.1,0.0,69.2,7.0,1020.0,87.0,3.0,0.0,0.0
Braga,2018-10-07 05:00:00,0.64,None,45.2,0.0,55.9,9.0,1020.0,76.0,2.0,0.0,0.0
Braga,2018-10-07 04:00:00,0.57,None,39.5,0.0,72.1,11.0,1020.0,66.0,2.0,0.0,0.0
Braga,2018-10-07 03:00:00,0.64,Low,42.3,0.9,62.8,10.0,1021.0,71.0,4.0,0.0,0.0
Braga,2018-10-07 02:00:00,0.67,Medium,40.2,9.2,74.1,12.0,1021.0,66.0,4.0,0.0,0.0
Braga,2018-10-07 01:00:00,0.71,None,40.4,0.0,66.3,12.0,1021.0,71.0,5.0,0.0,0.0
Braga,2018-10-07 00:00:00,0.87,None,40.5,0.0,69.3,12.0,1021.0,71.0,3.0,0.0,0.0
Braga,2018-10-06 22:00:00,0.85,Medium,40.4,3.8,66.3,14.0,1021.0,62.0,5.0,0.0,0.0
Braga,2018-10-06 21:00:00,0.89,Medium,40.7,4.3,70.8,14.0,1020.0,71.0,4.0,0.0,0.0
Braga,2018-10-06 19:00:00,0.86,High,40.1,27.6,67.2,15.0,1019.0,77.0,5.0,0.0,0.0
Braga,2018-10-06 18:00:00,0.92,Very_High,40.1,28.4,67.2,17.0,1019.0,67.0,6.0,0.0,0.0
Braga,2018-10-06 17:00:00,0.9,Low,40.4,2.0,66.3,18.0,1018.0,68.0,7.0,20.0,0.0
Braga,2018-10-06 16:00:00,0.89,Medium,40.1,13.4,67.2,18.0,1018.0,77.0,6.0,20.0,0.0
Braga,2018-10-06 14:00:00,0.91,Medium,39.1,12.2,68.4,20.0,1018.0,72.0,7.0,20.0,0.0
Braga,2018-10-06 12:00:00,0.93,Low,38.7,6.1,69.6,20.0,1019.0,64.0,4.0,20.0,0.0
Braga,2018-10-06 11:00:00,0.94,Medium,39.6,11.6,63.7,19.0,1019.0,63.0,6.0,0.0,0.0
Braga,2018-10-06 10:00:00,0.93,Medium,42.1,11.5,64.5,18.0,1019.0,68.0,4.0,0.0,0.0
Braga,2018-10-06 09:00:00,0.92,Low,41.9,2.5,63.9,14.0,1018.0,87.0,1.0,0.0,0.0
Braga,2018-10-06 08:00:00,0.81,Low,39.1,4.2,65.5,10.0,1018.0,100.0,0.0,0.0,0.0
Braga,2018-10-06 05:00:00,0.54,None,44.9,0.0,57.3,9.0,1016.0,100.0,0.0,0.0,0.0
Braga,2018-10-06 04:00:00,0.61,None,42.2,0.0,51.9,9.0,1016.0,100.0,2.0,20.0,0.0
Braga,2018-10-06 03:00:00,0.56,None,46.1,0.0,66.9,10.0,1016.0,100.0,0.0,20.0,0.0
Braga,2018-10-06 02:00:00,0.61,None,43.0,0.0,66.3,12.0,1016.0,93.0,0.0,20.0,0.0
Braga,2018-10-06 01:00:00,0.81,Low,39.1,5.6,65.5,12.0,1016.0,100.0,0.0,24.0,0.0
Braga,2018-10-06 00:00:00,0.67,Low,42.2,2.0,63.1,11.0,1016.0,100.0,0.0,24.0,0.0
Braga,2018-10-05 22:00:00,0.89,None,38.5,0.0,69.7,12.0,1016.0,100.0,1.0,0.0,0.0
Braga,2018-10-05 21:00:00,0.84,Low,40.3,2.0,70.7,13.0,1016.0,93.0,0.0,0.0,0.0
Braga,2018-10-05 20:00:00,0.83,Medium,40.4,5.0,66.3,15.0,1016.0,87.0,2.0,0.0,0.0
Braga,2018-10-05 19:00:00,0.88,High,38.4,8.3,69.2,16.0,1015.0,87.0,2.0,0.0,0.0
Braga,2018-10-05 18:00:00,0.91,High,40.5,8.8,69.3,17.0,1015.0,82.0,2.0,0.0,0.0
Braga,2018-10-05 17:00:00,0.85,Medium,40.1,4.8,67.2,17.0,1015.0,82.0,4.0,0.0,0.0
Braga,2018-10-05 16:00:00,0.9,Medium,40.4,3.3,66.3,19.0,1015.0,72.0,3.0,0.0,0.0
Braga,2018-10-05 15:00:00,0.87,Medium,39.9,5.4,68.7,20.0,1015.0,68.0,3.0,0.0,0.0
Braga,2018-10-05 14:00:00,0.88,Medium,40.1,13.3,67.2,20.0,1016.0,68.0,3.0,0.0,0.0
Braga,2018-10-05 13:00:00,0.85,None,39.1,0.0,65.5,20.0,1016.0,60.0,3.0,0.0,0.0
Braga,2018-10-05 12:00:00,0.9,Low,37.6,1.0,64.5,20.0,1016.0,52.0,2.0,0.0,0.0
Braga,2018-10-05 11:00:00,0.91,Low,40.3,1.2,59.6,20.0,1016.0,60.0,1.0,0.0,0.0
Braga,2018-10-05 10:00:00,0.88,Low,39.1,0.8,68.4,18.0,1017.0,59.0,0.0,0.0,0.0
Braga,2018-10-05 08:00:00,0.84,Low,39.9,2.3,68.7,12.0,1017.0,76.0,1.0,0.0,0.0
Braga,2018-10-05 07:00:00,0.68,Low,40.4,2.7,66.3,9.0,1016.0,93.0,0.0,0.0,0.0
Braga,2018-10-05 06:00:00,0.69,None,39.9,0.0,67.7,11.0,1016.0,87.0,1.0,0.0,0.0
Braga,2018-10-05 05:00:00,0.66,Low,42.1,1.5,60.2,12.0,1016.0,76.0,1.0,0.0,0.0
Braga,2018-10-05 03:00:00,0.62,None,40.4,0.0,66.3,11.0,1016.0,93.0,0.0,0.0,0.0
Braga,2018-10-05 01:00:00,0.73,Medium,40.3,6.0,67.7,12.0,1017.0,81.0,0.0,0.0,0.0
Braga,2018-10-04 23:00:00,0.76,None,40.5,0.0,69.2,13.0,1018.0,76.0,0.0,0.0,0.0
Braga,2018-10-04 21:00:00,0.86,Medium,40.1,4.0,67.2,14.0,1018.0,71.0,0.0,0.0,0.0
Braga,2018-10-04 20:00:00,0.93,High,39.3,28.1,70.2,16.0,1017.0,67.0,0.0,0.0,0.0
Braga,2018-10-04 19:00:00,0.92,Very_High,40.4,217.0,66.3,19.0,1017.0,55.0,1.0,0.0,0.0
Braga,2018-10-04 17:00:00,0.91,Very_High,40.4,134.9,66.3,23.0,1017.0,43.0,2.0,0.0,0.0
Braga,2018-10-04 16:00:00,0.92,Very_High,40.4,41.9,66.3,23.0,1017.0,43.0,2.0,0.0,0.0
Braga,2018-10-04 13:00:00,0.85,High,39.3,17.3,66.9,25.0,1018.0,33.0,2.0,0.0,0.0
Braga,2018-10-04 12:00:00,0.91,Very_High,40.5,41.5,69.2,23.0,1019.0,38.0,2.0,0.0,0.0
Braga,2018-10-04 11:00:00,0.91,High,39.1,12.8,65.5,24.0,1019.0,41.0,2.0,0.0,0.0
Braga,2018-10-04 08:00:00,0.94,Very_High,40.4,46.9,66.3,14.0,1019.0,67.0,0.0,0.0,0.0
Braga,2018-10-04 07:00:00,0.91,Medium,40.4,5.9,66.3,14.0,1018.0,62.0,1.0,0.0,0.0
Braga,2018-10-04 06:00:00,0.65,Low,40.6,4.1,72.3,12.0,1018.0,71.0,1.0,0.0,0.0
Braga,2018-10-04 05:00:00,0.63,None,45.1,0.0,54.8,13.0,1018.0,66.0,0.0,0.0,0.0
Braga,2018-10-04 04:00:00,0.56,None,40.5,0.0,80.9,15.0,1018.0,54.0,1.0,0.0,0.0
Braga,2018-10-04 03:00:00,0.54,None,44.4,0.0,62.0,16.0,1019.0,51.0,1.0,0.0,0.0
Braga,2018-10-04 02:00:00,0.63,None,44.9,0.0,57.3,18.0,1019.0,42.0,0.0,0.0,0.0
Braga,2018-10-04 01:00:00,0.62,None,39.9,0.0,69.9,15.0,1020.0,54.0,0.0,0.0,0.0
Braga,2018-10-04 00:00:00,0.72,None,40.3,0.0,67.7,15.0,1020.0,54.0,0.0,0.0,0.0
Braga,2018-10-03 22:00:00,0.87,Low,40.4,3.1,66.3,16.0,1020.0,55.0,0.0,0.0,0.0
Braga,2018-10-03 21:00:00,0.82,Medium,38.7,5.9,66.4,15.0,1020.0,58.0,0.0,0.0,0.0
Braga,2018-10-03 20:00:00,0.87,Medium,40.7,3.4,67.8,18.0,1021.0,45.0,0.0,0.0,0.0
Braga,2018-10-03 19:00:00,0.94,High,40.7,17.7,67.8,21.0,1020.0,37.0,1.0,0.0,0.0
Braga,2018-10-03 18:00:00,0.93,Very_High,40.4,57.9,66.3,25.0,1020.0,27.0,2.0,0.0,0.0
Braga,2018-10-03 17:00:00,0.93,Very_High,40.4,70.1,66.3,25.0,1020.0,25.0,3.0,0.0,0.0
Braga,2018-10-03 16:00:00,0.9,High,40.4,26.2,66.3,25.0,1020.0,25.0,3.0,0.0,0.0
Braga,2018-10-03 15:00:00,0.92,High,40.4,17.9,66.3,27.0,1020.0,26.0,2.0,0.0,0.0
Braga,2018-10-03 14:00:00,0.92,High,40.4,13.4,66.3,28.0,1021.0,20.0,2.0,0.0,0.0
Braga,2018-10-03 11:00:00,0.91,High,39.8,16.4,62.4,26.0,1022.0,21.0,5.0,0.0,0.0
Braga,2018-10-03 10:00:00,0.9,High,39.1,15.3,65.5,24.0,1022.0,22.0,6.0,0.0,0.0
Braga,2018-10-03 07:00:00,0.88,High,40.5,18.4,69.2,19.0,1021.0,53.0,5.0,0.0,0.0
Braga,2018-10-03 06:00:00,0.72,Low,44.1,0.8,53.6,20.0,1021.0,28.0,5.0,0.0,0.0
Braga,2018-10-03 05:00:00,0.6,None,40.8,0.0,57.6,20.0,1020.0,53.0,5.0,0.0,0.0
Braga,2018-10-03 04:00:00,0.56,None,40.3,0.0,73.3,20.0,1021.0,50.0,4.0,0.0,0.0
Braga,2018-10-03 03:00:00,0.54,None,39.8,0.0,86.6,20.0,1021.0,50.0,4.0,0.0,0.0
Braga,2018-10-03 02:00:00,0.59,None,40.3,0.0,80.3,20.0,1021.0,50.0,4.0,0.0,0.0
Braga,2018-10-03 00:00:00,0.68,None,40.4,0.0,66.3,16.0,1021.0,38.0,3.0,0.0,0.0
Braga,2018-10-02 23:00:00,0.67,None,40.4,0.0,66.3,16.0,1021.0,38.0,3.0,0.0,0.0
Braga,2018-10-02 22:00:00,0.78,None,40.5,0.0,69.2,16.0,1021.0,44.0,3.0,0.0,0.0
Braga,2018-10-02 21:00:00,0.74,Medium,39.1,3.7,60.6,15.0,1021.0,67.0,2.0,0.0,0.0
Braga,2018-10-02 19:00:00,0.94,High,40.4,34.1,66.3,20.0,1020.0,49.0,1.0,0.0,0.0
Braga,2018-10-02 18:00:00,0.92,Very_High,40.3,128.1,67.7,24.0,1020.0,33.0,1.0,0.0,0.0
Braga,2018-10-02 17:00:00,0.94,Very_High,40.4,132.6,66.3,26.0,1020.0,29.0,2.0,0.0,0.0
Braga,2018-10-02 16:00:00,0.89,High,40.4,25.5,66.3,29.0,1020.0,14.0,4.0,0.0,0.0
Braga,2018-10-02 15:00:00,0.9,Medium,40.5,11.4,69.2,29.0,1020.0,14.0,4.0,0.0,0.0
Braga,2018-10-02 14:00:00,0.93,High,37.6,9.9,67.6,28.0,1020.0,17.0,5.0,0.0,0.0
Braga,2018-10-02 13:00:00,0.93,High,40.4,33.2,66.3,26.0,1021.0,35.0,6.0,0.0,0.0
Braga,2018-10-02 12:00:00,0.92,High,39.8,15.3,62.4,25.0,1022.0,20.0,5.0,0.0,0.0
Braga,2018-10-02 11:00:00,0.89,High,40.4,18.1,66.3,23.0,1022.0,27.0,7.0,0.0,0.0
Braga,2018-10-02 10:00:00,0.87,High,40.4,27.2,66.3,20.0,1022.0,32.0,7.0,0.0,0.0
Braga,2018-10-02 09:00:00,0.92,High,38.3,9.7,61.2,18.0,1021.0,36.0,8.0,0.0,0.0
Braga,2018-10-02 08:00:00,0.93,High,40.4,24.4,66.3,17.0,1021.0,39.0,6.0,0.0,0.0
Braga,2018-10-02 07:00:00,0.89,Medium,40.4,8.3,66.3,17.0,1021.0,42.0,6.0,0.0,0.0
Braga,2018-10-02 05:00:00,0.54,None,40.7,0.0,81.5,18.0,1020.0,42.0,5.0,0.0,0.0
Braga,2018-10-02 04:00:00,0.56,None,42.6,0.0,60.8,19.0,1020.0,39.0,4.0,0.0,0.0
Braga,2018-10-02 03:00:00,0.59,None,44.3,0.0,60.1,19.0,1020.0,39.0,5.0,0.0,0.0
Braga,2018-10-02 02:00:00,0.5,None,40.4,0.0,66.3,16.0,1020.0,51.0,3.0,0.0,0.0
